date_documented,date,time,described_duration,described_ufo,full_description,city,state,latitude,longitude
10/15/2002,10/7/2002,07:00 pm,3 seconds,,observed a meteorite travelling from north to south at a very steep (45 degrees) angle. the meteorite exploded when it neared the earth,longmont,co,40.1672222,-105.1013889
12/12/2009,10/7/2009,04:50 pm,15 seconds,,object was red and silver with no wings (cigar shaped) moving at slow jet speed.,wilkesboro,nc,36.1458333,-81.1608333
11/21/2010,10/7/2010,09:02 pm,4 seconds,,seven faint lights in a tight v formation traveling rapidly across sky and fade away.,spring hill,fl,28.5555556,-82.4505556
10/14/2013,10/7/2013,07:40 am,3 seconds,,no object seen  however while driving down  carson river road my driving lights went off on their own for approximately 3 seconds.   it,carson city,nv,39.1638889,-119.7663889
11/11/2003,10/8/2000,02:00 am,few seconds,,a bright red beam of light caught my eye and disappeared quickly as i turned to watch it.,fairfield,ia,41.0086111,-91.9625
10/10/2011,10/8/2011,09:15 pm,2.5 minutes,,bright burnt orange object moving at the speed simular to space station but bigger,peoria,il,40.6936111,-89.5888889
1/22/2004,10/9/1955,06:00 pm,4 sec,,brilliant green meteor heading north west from view in california near l.a.,west covina,ca,34.09,-117.8894444
11/20/2001,10/9/2001,06:50 pm,3-4 min,,oakland-bay bridge sighting?,emeryville,ca,37.8313889,-122.2841667
11/21/2010,10/9/2010,09:00 pm,4 min.,,"orange, flickering light in the sky moving silently and changing direction 90 degrees once before dimming out.",ocean isle beach,nc,33.8941667,-78.4269444
4/16/2005,1/10/1968,11:00 pm,three hours,,lost three hours of time--and didn't think it strange.,jacksonville,fl,30.3319444,-81.6558333
11/2/1999,1/10/1995,07:15 am,30 sec.,,"man sees seven very bright, golden lights descend from sky, hover, and move strangely. quickly  streaks to w.",riverside,ca,33.9533333,-117.3952778
7/29/2010,1/10/1996,06:50 pm,30 min.,,"father and son witness a very peculiar, multi-colored light, as it appeared to rotate.",meadville,pa,41.6413889,-80.1516667
7/23/2000,1/10/1998,10:24 pm,30 sec.,,no craft seen.  we heard a bang against the house and the bedroom blinds began turning red as if someone had backed a car up two our be,lowell,in,41.2913889,-87.4205556
1/11/2002,1/10/2002,09:30 pm,30 sec.,,"bluish-white object streaks across sky, explodes into orange fireball then falls toward earth",phoenix,az,33.4483333,-112.0733333
9/2/2005,1/10/2005,05:24 pm,20-30 sec.,,"solo driver witnesses oblong, rectangular object w/ lights moving to the north above freeway",denver,co,39.7391667,-104.9841667
11/2/1999,11/10/1995,07:50 pm,40 min.,,"family returns from restaurant and notice ""emerald green beam"" of light going horizontally over their home. beam ended abruptly.",beaverton,or,45.4872222,-122.8025
11/2/1999,11/10/1995,11:25 pm,10 sec.,,"man experienced 15 sec. power outage in enumclaw, then witnesses major blue, then green flash south of auburn. 50 deg. of sky.",auburn,wa,47.3075,-122.2272222
11/17/1999,11/10/1999,12:01 am,less than 1min,,"5-6 hi power military jets, either f15s or f18s, scrambled out of lambert field and headed south east as shifts changed at aircraft pla",st. louis,mo,38.6272222,-90.1977778
11/17/1999,11/10/1999,11:00 pm,15 min.,,"it was in the evening,when the craft came across the sky moving from left to right before going stright  and then it was gone. to conta",atlanta,ga,33.7488889,-84.3880556
12/16/2005,11/10/2005,06:00 pm,15-20 minutes,,"this is the fourth report concerning the ""lights"" i have seen in the skies near austin, texas.  ((possible spider webs??))",bastrop,tx,30.1102778,-97.315
12/12/2009,11/10/2009,08:20 am,25 minutes,,i saw blinking lights which at first looked like an aircraft except for irregularities in the sequence.  the craft looked like it was j,long beach,ca,33.7669444,-118.1883333
